Mode,Start_Time,Animal,Weight,Unit
1,2026-06-26 10:52:57.677706,121859271,0,2
1,2026-06-26 10:52:57.677706,121859271,23.5,2
OPEN,2026-06-26 10:53:37.678398,0,0
1,2026-06-26 10:53:48.703295,121859271,0,2
1,2026-06-26 10:53:48.703295,121859271,23.345,2
2,2026-06-26 10:53:56.282270,121859271,0,2
3,2026-06-26 10:54:18.108871,121836132,0,2
OPEN,2026-06-26 10:54:28.703790,0,0
1,2026-06-26 10:56:33.254910,1218496122,0,2
1,2026-06-26 10:56:33.254910,1218496122,23.435000000000002,2
1,2026-06-26 10:56:48.191976,1218496122,0,1
solo,2026-06-26 10:56:48.396220,0,0
1,2026-06-26 10:56:48.191976,1218496122,23.25,1
OPEN,2026-06-26 10:57:28.396975,0,0
1,2026-06-26 11:00:08.006147,121859271,0,2
1,2026-06-26 11:00:08.006147,121859271,23.485,2
OPEN,2026-06-26 11:00:48.006825,0,0
1,2026-06-26 11:01:34.833862,121839170,0,1
1,2026-06-26 11:01:34.833862,121839170,16.545,1
OPEN,2026-06-26 11:02:14.834458,0,0
1,2026-06-26 11:02:36.082884,121836132,0,2
1,2026-06-26 11:02:36.082884,121836132,21.85,2
OPEN,2026-06-26 11:03:16.083633,0,0
1,2026-06-26 11:03:52.099768,121836132,0,2
1,2026-06-26 11:03:52.099768,121836132,22.52,2
OPEN,2026-06-26 11:04:32.100384,0,0
1,2026-06-26 11:04:37.050867,121839170,0,1
1,2026-06-26 11:04:37.050867,121839170,22.735,1
OPEN,2026-06-26 11:05:17.051612,0,0
1,2026-06-26 11:05:26.687049,121859271,0,2
1,2026-06-26 11:05:26.687049,121859271,23.84,2
2,2026-06-26 11:05:53.314463,121859271,0,2
OPEN,2026-06-26 11:06:06.687747,0,0
1,2026-06-26 11:06:15.041652,121859271,0,2
1,2026-06-26 11:06:15.041652,121859271,24.405,2
2,2026-06-26 11:06:38.442606,121836132,0,2
OPEN,2026-06-26 11:06:55.042405,0,0
1,2026-06-26 11:08:04.427799,121836132,0,2
1,2026-06-26 11:08:04.427799,121836132,21.515,2
1,2026-06-26 11:08:17.733044,121836132,0,1
solo,2026-06-26 11:08:17.937306,0,0
1,2026-06-26 11:08:17.733044,121836132,21.255000000000003,1
2,2026-06-26 11:08:40.060720,121839170,0,1
3,2026-06-26 11:09:12.666572,121839170,0,1
OPEN,2026-06-26 11:09:52.669452,0,0
1,2026-06-26 11:11:27.721506,121839170,0,1
1,2026-06-26 11:11:27.721506,121839170,12.525,1
OPEN,2026-06-26 11:13:22.819653,0,0
1,2026-06-26 11:13:45.142532,121859271,0,2
1,2026-06-26 11:13:45.142532,121859271,23.134999999999998,2
1,2026-06-26 11:13:57.956525,121859271,0,1
solo,2026-06-26 11:13:58.161211,0,0
1,2026-06-26 11:13:57.956525,121859271,23.45,1
2,2026-06-26 11:14:20.775270,121839170,0,1
2,2026-06-26 11:14:43.500766,121839170,0,2
OPEN,2026-06-26 11:15:23.503172,0,0
1,2026-06-26 11:15:49.752890,121859271,0,1
1,2026-06-26 11:15:49.752890,121859271,20.689999999999998,1
999,2026-06-26 11:16:07.639310,1102000232,999,2
1,2026-06-26 11:16:07.644167,121859271,0,2
solo,2026-06-26 11:16:07.848257,0,0
1,2026-06-26 11:16:07.644167,121859271,24.175,2
OPEN,2026-06-26 11:16:47.848877,0,0
1,2026-06-26 11:19:37.838762,1218496122,0,1
1,2026-06-26 11:19:37.838762,1218496122,23.4,1
1,2026-06-26 11:19:48.080293,1218496122,0,2
solo,2026-06-26 11:19:48.285526,0,0
1,2026-06-26 11:19:48.080293,1218496122,0,2
2,2026-06-26 11:19:53.062686,1218496122,0,2
3,2026-06-26 11:20:16.737469,121859271,0,2
2,2026-06-26 11:20:22.425913,121859271,0,1
OPEN,2026-06-26 11:21:02.428721,0,0
1,2026-06-26 11:24:44.034604,1218496122,0,2
1,2026-06-26 11:24:44.034604,1218496122,24.63,2
